I0,I1
7989,7894
7991,7891
7991,7886
7989,7879
7988,7871
7985,7861
7981,7850
7974,7837
7966,7822
7956,7805
7942,7787
7925,7767
7904,7746
7883,7723
7865,7699
7847,7673
7827,7645
7803,7616
7771,7585
7739,7553
7707,7519
7672,7484
7636,7447
7602,7409
7561,7369
7517,7328
7481,7285
7439,7241
7390,7196
7350,7149
7304,7101
7258,7052
7208,7001
7154,6949
7101,6896
7038,6842
6993,6786
6938,6729
6886,6672
6823,6612
6763,6552
6689,6491
6632,6429
6565,6366
6509,6301
6446,6236
6382,6170
6312,6103
6233,6035
6170,5966
6110,5896
6049,5826
5980,5755
5913,5683
5837,5610
5772,5537
5704,5463
5637,5388
5568,5313
5488,5238
5404,5161
5333,5085
5260,5008
5190,4930
5114,4853
5031,4775
4967,4696
4889,4617
4815,4539
4736,4459
4649,4380
4564,4301
4487,4221
4410,4142
4330,4062
4251,3983
4171,3903
4101,3824
4026,3745
3948,3665
3866,3587
3789,3508
3705,3429
3632,3351
3558,3273
3480,3196
3400,3119
3325,3042
3252,2966
3183,2890
3108,2815
3026,2741
2956,2667
2872,2593
2799,2520
2728,2448
2649,2377
2567,2307
2491,2237
2421,2168
2353,2100
2282,2032
2206,1966
2135,1901
2061,1836
2000,1773
1933,1710
1867,1649
1794,1589
1713,1529
1652,1471
1594,1414
1536,1359
1474,1304
1415,1251
1343,1199
1294,1148
1238,1098
1187,1050
1135,1003
1080,958
1020,913
963,871
911,829
856,789
816,751
775,714
730,678
689,644
643,612
602,581
562,551
522,524
490,497
466,472
444,449
420,428
393,408
365,389
341,373
318,358
299,344
283,332
267,322
253,314
239,307
228,302
220,298
214,296
209,296
207,298
206,301
206,306
207,312
209,320
211,330
216,341
224,354
232,369
243,385
257,403
274,423
294,444
317,467
339,491
360,517
383,545
412,574
441,605
467,637
494,670
531,706
576,742
614,780
655,820
697,861
734,903
775,947
814,993
877,1039
935,1087
980,1136
1027,1187
1050,1239
1117,1292
1171,1346
1219,1401
1275,1458
1300,1516
1376,1575
1440,1635
1501,1696
1559,1758
1621,1822
1676,1886
1749,1951
1819,2017
1893,2084
1957,2152
2019,2221
2081,2290
2148,2361
2217,2432
2286,2504
2354,2576
2420,2650
2489,2723
2556,2798
2635,2873
2709,2949
2775,3025
2846,3101
2918,3178
2993,3256
3068,3333
3136,3411
3207,3490
3278,3568
3351,3647
3433,3726
3510,3806
3588,3885
3666,3964
3748,4044
3832,4096
3919,4176
3989,4255
4059,4334
4136,4414
4203,4493
4290,4572
4375,4651
4454,4729
4537,4808
4628,4886
4709,4963
4792,5041
4868,5117
4946,5194
5007,5270
5085,5345
5163,5420
5243,5494
5323,5568
5391,5641
5477,5713
5555,5785
5628,5856
5698,5926
5764,5995
5832,6064
5903,6131
5976,6198
6049,6264
6116,6329
6180,6392
6251,6455
6325,6517
6394,6578
6453,6638
6513,6696
6569,6754
6640,6810
6697,6865
6764,6919
6817,6972
6873,7023
6924,7073
6979,7122
7030,7169
7087,7215
7143,7260
7189,7303
7237,7345
7280,7386
7326,7425
7371,7463
7415,7499
7465,7533
7503,7567
7538,7598
7580,7628
7617,7657
7651,7684
7687,7709
7720,7733
7748,7755
7778,7776
7808,7795
7832,7812
7852,7828
7872,7842
7895,7855
7919,7866
7939,7875
7953,7882
7962,7888
7970,7893
7977,7895
7983,7896
7988,7895
7991,7893
7991,7889
7991,7883
7989,7876
7987,7866
7983,7856
7978,7843
7971,7829
7962,7814
7949,7796
7934,7777
7916,7757
7894,7735
7874,7711
7856,7686
7837,7659
7817,7631
7788,7601
7756,7569
7724,7536
7692,7501
7655,7465
7620,7428
7583,7389
7537,7348
7498,7307
7461,7263
7413,7219
7371,7173
7327,7125
7280,7077
7235,7027
7180,6975
7130,6923
7067,6869
7015,6814
6966,6758
6911,6701
6856,6642
6794,6583
6727,6522
6661,6460
6596,6397
6536,6334
6476,6269
6415,6203
6345,6136
6278,6069
6196,6000
6141,5931
6078,5861
6016,5790
5950,5719
5871,5646
5809,5573
5735,5500
5672,5426
5602,5351
5527,5275
5452,5200
5364,5123
5299,5046
5227,4969
5152,4892
5076,4814
4999,4735
4929,4657
4852,4578
4776,4499
4687,4420
4608,4341
4520,4261
4446,4182
4371,4102
4292,4023
4206,3943
4138,3864
4061,3784
3987,3705
3910,3626
3826,3547
3747,3469
3668,3390
3592,3312
3519,3235
3443,3157
3357,3080
3291,3004
3217,2928
3144,2853
3072,2778
2991,2703
2914,2630
2840,2557
2764,2484
2689,2413
2612,2342
2490,2272
2426,2202
2366,2134
2298,2066
2231,1999
2154,1933
2088,1868
2024,1804
1962,1741
1898,1680
1823,1619
1752,1559
1675,1500
1625,1443
1564,1386
1507,1331
1443,1277
1379,1224
1318,1173
1270,1123
1213,1074
1164,1026
1107,980
1051,935
989,892
940,850
885,809
838,770
799,732
755,696
712,661
668,628
623,596
585,566
543,537
507,510
480,485
457,461
433,438
406,418
379,398
353,381
330,365
310,351
292,338
276,327
260,318
246,310
234,304
225,300
219,297
213,296
209,297
206,299
206,303
207,309
208,316
211,325
215,335
220,348
228,362
238,377
251,394
266,413
284,433
306,455
327,479
349,504
370,531
397,559
426,589
454,620
479,653
511,688
555,724
596,761
634,800
676,840
713,882
752,925
794,970
833,1016
876,1063
934,1111
981,1161
1038,1213
1090,1265
1138,1319
1187,1374
1238,1430
1294,1487
1340,1545
1407,1605
1465,1665
1528,1727
1586,1790
1648,1854
1706,1918
1786,1984
1857,2050
1926,2118
1991,2186
2049,2255
2117,2325
2176,2396
2252,2468
2318,2540
2386,2613
2455,2686
2520,2761
2599,2835
2671,2911
2743,2987
2812,3063
2880,3140
2959,3217
3030,3294
3103,3372
3171,3451
3240,3529
3316,3608
3388,3687
3471,3766
3550,3845
3626,3925
3705,4004
3795,4084
3875,4136
3955,4215
4026,4295
4094,4374
4168,4453
4245,4533
4327,4611
4411,4690
4497,4769
4580,4847
4667,4925
4755,5002
4832,5079
4902,5156
4977,5232
5039,5307
5124,5383
5204,5457
5281,5531
5355,5604
5438,5677
5513,5749
5596,5820
5667,5891
5730,5961
5802,6029
5860,6098
5941,6165
6011,6231
6081,6296
6151,6361
6211,6424
6292,6486
6359,6548
6427,6608
6486,6667
6543,6725
6603,6782
6667,6838
6729,6892
6791,6945
6846,6997
6900,7048
6952,7098
7005,7146
7054,7192
7118,7238
7168,7282
7217,7325
7261,7366
7302,7406
7348,7444
7391,7481
7442,7516
7487,7550
7524,7583
7563,7613
7602,7643
7635,7671
7671,7697
7705,7721
7735,7744
7764,7766
7795,7786
7823,7804
7844,7821
7863,7835
7884,7849
7908,7860
7931,7870
7948,7879
7959,7886
7968,7891
7974,7894
7982,7896
7988,7896
7991,7894
7991,7891
7990,7886
7989,7879
7987,7871
7984,7861
7979,7850
7972,7837
7964,7822
7954,7805
7939,7787
7923,7767
7902,7746
7882,7723
7863,7699
7845,7673
7826,7645
7801,7616
7769,7585
7737,7553
7707,7519
7672,7484
7635,7447
7601,7409
7560,7369
7516,7328
7479,7285
7438,7241
7390,7196
7352,7149
7304,7101
7257,7052
7207,7001
7152,6949
7100,6896
7038,6842
6990,6786
6938,6729
6885,6672
6823,6612
6763,6552
6683,6491
6633,6429
6565,6366
6509,6301
6446,6236
6382,6170
6313,6103
6232,6035
6170,5966
6108,5896
6048,5826
5980,5755
5913,5683
5836,5610
5772,5537
5704,5463
5637,5388
5568,5313
5488,5238
5402,5161
5332,5085
5261,5008
5191,4930
5115,4853
5032,4775
4968,4696
4889,4617
4815,4539
4736,4459
4649,4380
4562,4301
4487,4221
4410,4142
4332,4062
4253,3983
4172,3903
4102,3824
4026,3745
3948,3665
3866,3587
3789,3508
3705,3429
3630,3351
3557,321319
1190,1374
1240,1430
1296,1487
1342,1545
1409,1605
1466,1665
1529,1727
1587,1790
1649,1854
1707,1918
1786,1984
1857,2050
1926,2118
1990,2186
2049,2255
2118,2325
2178,2396
2254,2468
2319,2540
2387,2613
2455,2686
2522,2761
2602,2835
2673,2911
2744,2987
2811,3063
2881,3140
2958,3217
3028,3294
3105,3372
3173,3451
3242,3529
3317,3608
3389,3687
3472,3766
3551,3845
3627,3925
3708,4004
3795,4084
3876,4136
3955,4215
4026,4295
4096,4374
4169,4453
4246,4533
4329,4611
4416,4690
4499,4769
4586,4847
4670,4925
4758,5002
4835,5079
4905,5156
4980,5232
5044,5307
5127,5383
5208,5457
5286,5531
5360,5604
5447,5677
5522,5749
5599,5820
5669,5891
5732,5961
5805,6029
5865,6098
5945,6165
6016,6231
6085,6296
6155,6361
6260,6424
6331,6486
6390,6548
6440,6608
6495,6667
6553,6725
6621,6782
6680,6838
6741,6892
6797,6945
6849,6997
6904,7048
6958,7098
7011,7146
7060,7192
7122,7238
7170,7282
7218,7325
7262,7366
7305,7406
7352,7444
7394,7481
7446,7516
7489,7550
7523,7583
7562,7613
7603,7643
7638,7671
7672,7697
7707,7721
7736,7744
7765,7766
7796,7786
7823,7804
7844,7821
7864,7835
7885,7849
7909,7860
7932,7870
7948,7879
7959,7886
7967,7891
7975,7894
7980,7896
7986,7896
7990,7894
7991,7891
7991,7886
7989,7879
7987,7871
7983,7861
7979,7850
7972,7837
7964,7822
7953,7805
7939,7787
7921,7767
7900,7746
7881,7723
7862,7699
7844,7673
7825,7645
7800,7616
7769,7585
7737,7553
7706,7519
7672,7484
7635,7447
7600,7409
7558,7369
7515,7328
7479,7285
7435,7241
7388,7196
7349,7149
7303,7101
7257,7052
7207,7001
7153,6949
7100,6896
7037,6842
6992,6786
6933,6729
6884,6672
6822,6612
6763,6552
6661,6491
6602,6429
6548,6366
6495,6301
6433,6236
6367,6170
6299,6103
6220,6035
