I0,I1
7506,7567
7542,7598
7584,7628
7620,7657
7654,7684
7690,7709
7722,7733
7751,7755
7781,7776
7811,7795
7834,7812
7854,7828
7874,7842
7897,7855
7921,7866
7940,7875
7954,7882
7964,7888
7972,7893
7978,7895
7983,7896
7989,7895
7991,7893
7992,7889
7991,7883
7988,7876
7986,7866
7982,7856
7976,7843
7969,7829
7959,7814
7947,7796
7932,7777
7913,7757
7891,7735
7872,7711
7853,7686
7835,7659
7815,7631
7786,7601
7754,7569
7722,7536
7689,7501
7653,7465
7618,7428
7582,7389
7536,7348
7496,7307
7458,7263
7389,7219
7350,7173
7309,7125
7266,7077
7221,7027
7168,6975
7118,6923
7055,6869
7010,6814
6961,6758
6907,6701
6852,6642
6790,6583
6724,6522
6661,6460
6598,6397
6537,6334
6477,6269
6414,6203
6342,6136
6276,6069
6195,6000
6141,5931
6077,5861
6014,5790
5946,5719
5866,5646
5805,5573
5731,5500
5668,5426
5599,5351
5520,5275
5446,5200
5360,5123
5296,5046
5224,4969
5147,4892
5070,4814
4996,4735
4924,4657
4849,4578
4770,4499
4684,4420
4605,4341
4519,4261
4445,4182
4369,4102
4289,4023
4205,3943
4138,3864
4061,3784
3984,3705
3907,3626
3823,3547
3745,3469
3667,3390
3592,3312
3518,3235
3442,3157
3358,3080
3292,3004
3218,2928
3143,2853
3070,2778
2989,2703
2913,2630
2840,2557
2765,2484
2689,2413
2611,2342
2523,2272
2458,2202
2387,2134
2314,2066
2246,1999
2165,1933
2098,1868
2030,1804
1964,1741
1899,1680
1824,1619
1754,1559
1676,1500
1623,1443
1562,1386
1504,1331
1441,1277
1376,1224
1315,1173
1264,1123
1208,1074
1158,1026
1102,980
1047,935
985,892
935,850
877,809
832,770
793,732
749,696
706,661
661,628
618,596
579,566
537,537
502,510
475,485
453,461
430,438
404,418
377,398
350,381
328,365
308,351
289,338
274,327
259,318
245,310
233,304
224,300
216,297
211,296
208,297
206,299
207,303
207,309
209,316
211,325
216,335
222,348
236,362
247,377
261,394
275,413
292,433
313,455
335,479
355,504
378,531
404,559
433,589
459,620
484,653
518,688
561,724
600,761
640,800
682,840
719,882
758,925
799,970
836,1016
857,1063
940,1111
991,1161
1047,1213
1093,1265
1140,1319
1189,1374
1240,1430
1296,1487
1343,1545
1411,1605
1468,1665
1531,1727
1588,1790
1649,1854
1706,1918
1786,1984
1857,2050
1926,2118
1990,2186
2050,2255
2118,2325
2178,2396
2255,2468
2320,2540
2388,2613
2456,2686
2521,2761
2600,2835
2673,2911
2744,2987
2812,3063
2881,3140
2958,3217
3030,3294
3103,3372
3172,3451
3241,3529
3316,3608
3389,3687
3471,3766
3551,3845
3627,3925
3706,4004
3794,4084
3874,4136
3956,4215
4026,4295
4096,4374
4169,4453
4248,4533
4329,4611
4414,4690
4500,4769
4584,4847
4668,4925
4756,5002
4836,5079
4906,5156
4981,5232
5044,5307
5128,5383
5209,5457
5290,5531
5360,5604
5448,5677
5522,5749
5600,5820
5670,5891
5733,5961
5811,6029
5866,6098
5946,6165
6016,6231
6084,6296
6154,6361
6215,6424
6298,6486
6365,6548
6429,6608
6488,6667
6544,6725
6607,6782
6670,6838
6733,6892
6795,6945
6849,6997
6903,7048
6955,7098
7009,7146
7058,7192
7121,7238
7170,7282
7219,7325
7263,7366
7305,7406
7351,7444
7393,7481
7445,7516
7489,7550
7525,7583
7565,7613
7603,7643
7637,7671
7674,7697
7708,7721
7737,7744
7766,7766
7797,7786
7824,7804
7847,7821
7866,7835
7887,7849
7911,7860
7933,7870
7949,7879
7965,7886
7972,7891
7978,7894
7983,7896
7988,7896
7991,7894
7991,7891
7991,7886
7989,7879
7986,7871
7983,7861
7978,7850
7971,7837
7962,7822
7951,7805
7936,7787
7919,7767
7899,7746
7879,7723
7860,7699
7842,7673
7822,7645
7797,7616
7766,7585
7734,7553
7704,7519
7669,7484
7633,7447
7598,7409
7556,7369
7514,7328
7479,7285
7435,7241
7388,7196
7349,7149
7302,7101
7255,7052
7205,7001
7152,6949
7098,6896
7036,6842
6992,6786
6936,6729
6884,6672
6822,6612
6762,6552
6689,6491
6632,6429
6564,6366
6507,6301
6443,6236
6380,6170
6310,6103
6231,6035
6168,5966
6108,5896
6047,5826
5979,5755
5910,5683
5835,5610
5768,5537
5701,5463
5632,5388
5563,5313
5484,5238
5399,5161
5330,5085
5259,5008
5187,4930
5112,4853
5028,4775
4965,4696
4886,4617
4809,4539
4730,4459
4644,4380
4558,4301
4484,4221
4406,4142
4328,4062
4250,3983
4170,3903
4101,3824
4025,3745
3943,3665
3865,3587
3788,3508
3702,3429
3628,3351
3555,3273
3477,3196
3400,3119
3324,3042
3251,2966
3181,2890
3108,2815
3027,2741
2955,2667
2875,2593
2801,2520
2729,2448
2648,2377
2565,2307
2491,2237
2420,2168
2351,2100
2279,2032
2203,1966
2135,1901
2061,1836
2000,1773
1932,1710
1865,1649
1793,1589
1710,1529
1649,1471
1590,1414
1532,1359
1469,1304
1411,1251
1340,1199
1264,1148
1208,1098
1164,1050
1113,1003
1063,958
1003,913
952,871
901,829
849,789
811,751
770,714
727,678
685,644
638,612
599,581
560,551
520,524
489,497
465,472
443,449
418,428
389,408
363,389
340,373
320,358
301,344
284,332
267,322
253,314
239,307
229,302
221,298
216,296
210,296
208,298
207,301
207,306
208,312
210,320
213,330
219,341
227,354
237,369
248,385
262,403
278,423
299,444
321,467
342,491
363,517
388,545
416,574
447,605
470,637
498,670
537,706
580,742
618,780
658,820
700,861
736,903
777,947
816,993
856,1039
911,1087
962,1136
1014,1187
1068,1239
1115,1292
1165,1346
1212,1401
1268,1458
1317,1516
1373,1575
1437,1635
1498,1696
1559,1758
1621,1822
1676,1886
1749,1951
1818,2017
1893,2084
1958,2152
2022,2221
2084,2290
2149,2361
2215,2432
2285,2504
2355,2576
2421,2650
2491,2723
2558,2798
2636,2873
2709,2949
2776,3025
2846,3101
2918,3178
2992,3256
3066,3333
3134,3411
3207,3490
3278,3568
3350,3647
3432,3726
3509,3806
3588,3885
3667,3964
3749,4044
3836,4096
3921,4176
3994,4255
4062,4334
4136,4414
4203,4493
4289,4572
4373,4651
4457,4729
4539,4808
4632,4886
4717,4963
4798,5041
4873,5117
4980,5194
5040,5270
5120,5345
5194,5420
5265,5494
5338,5568
5414,5641
5496,5713
5576,5785
5640,5856
5705,5926
5772,5995
5838,6064
5913,6131
5983,6198
6055,6264
6121,6329
6184,6392
6257,6455
6330,6517
6399,6578
6457,6638
6518,6696
6574,6754
6643,6810
6699,6865
6766,6919
6819,6972
6875,7023
6926,7073
6983,7122
7032,7169
7089,7215
7147,7260
7193,7303
7241,7345
7282,7386
7328,7425
7373,7463
7418,7499
7468,7533
7505,7567
7541,7598
7583,7628
7619,7657
7654,7684
7690,7709
7722,7733
7750,7755
7780,7776
7810,7795
7834,7812
7854,7828
7874,7842
7897,7855
7922,7866
7941,7875
7954,7882
7964,7888
7971,7893
7978,7895
7983,7896
7988,7895
7991,7893
7991,7889
7991,7883
7988,7876
7986,7866
7982,7856
7977,7843
7969,7829
7959,7814
7946,7796
7931,7777
7911,7757
7891,7735
7871,7711
7853,7686
7835,7659
7814,7631
7786,7601
7753,7569
7722,7536
7690,7501
7653,7465
7617,7428
7580,7389
7535,7348
7496,7307
7459,7263
7411,7219
7369,7173
7328,7125
7279,7077
7234,7027
7179,6975
7128,6923
7065,6869
7013,6814
6965,6758
6910,6701
6856,6642
6794,6583
6726,6522
6661,6460
6596,6397
6536,6334
6475,6269
6380,6203
6311,6136
6242,6069
6180,6000
6128,5931
6067,5861
6002,5790
5936,5719
5857,5646
5800,5573
5729,5500
5667,5426
5596,5351
5517,5275
5443,5200
5358,5123
5295,5046
5221,4969
5146,4892
5066,4814
4994,4735
4922,4657
4849,4578
4770,4499
4683,4420
4604,4341
4518,4261
4445,4182
4369,4102
4287,4023
4203,3943
4136,3864
4060,3784
3985,3705
3908,3626
3823,3547
3745,3469
3667,3390
3592,3312
3519,3235
3442,3157
3358,3080
3290,3004
3217,2928
3144,2853
3071,2778
2990,2703
2913,2630
2840,2557
2765,2484
2689,2413
2612,2342
2523,2272
2457,2202
2387,2134
2316,2066
2247,1999
2166,1933
2101,1868
2031,1804
1967,1741
1901,1680
1826,1619
1756,1559
1676,1500
1623,1443
1562,1386
1504,1331
1441,1277
1376,1224
1315,1173
1266,1123
1209,1074
1159,1026
1103,980
1047,935
985,892
934,850
877,809
830,770
793,732
749,696
707,661
662,628
619,596
580,566
538,537
501,510
474,485
453,461
430,438
403,418
376,398
350,381
328,365
308,351
290,338
275,327
259,318
246,310
233,304
224,300
217,297
212,296
208,297
207,299
207,303
208,309
209,316
211,325
215,335
222,348
229,362
241,377
254,394
269,413
298,433
320,455
341,479
359,504
380,531
406,559
435,589
460,620
486,653
519,688
562,724
603,761
642,800
683,840
719,882
757,925
799,970
836,1016
883,1063
939,1111
987,1161
1042,1213
1090,1265
1141,1319
1189,1374
1240,1430
1296,1487
1342,1545
1410,1605
1467,1665
1529,1727
1587,1790
1649,1854
1706,1918
1785,1984
1858,2050
1926,2118
1992,2186
2050,2255
2119,2325
2178,2396
2257,2468
2322,2540
2389,2613
2457,2686
2522,2761
2602,2835
2673,2911
2744,2987
2811,3063
2881,3140
2958,3217
3029,3294
3104,3372
3172,3451
3241,3529
3316,3608
3389,3687
3471,3766
3551,3845
3627,3925
3706,4004
3794,4084
3874,4136
3954,4215
4026,4295
4097,4374
4170,4453
4249,4533
4330,4611
4414,4690
4499,4769
4584,4847
4668,4925
4757,5002
4835,5079
4905,5156
4980,5232
5043,5307
5128,5383
5210,5457
5287,5531
5360,5604
5445,5677
5519,5749
5599,5820
5669,5891
5732,5961
5806,6029
5865,6098
5948,6165
6018,6231
6086,6296
6155,6361
6215,6424
6296,6486
6364,6548
6429,6608
6488,6667
6546,6725
6607,6782
6670,6838
6735,6892
6795,6945
6850,6997
6903,7048
6955,7098
7008,7146
7057,7192
7120,7238
7172,7282
7220,7325
7284,7366
7330,7406
7353,7444
7390,7481
7440,7516
7506,7550
7545,7583
7583,7613
7614,7643
7644,7671
7678,7697
7712,7721
7740,7744
7768,7766
7797,7786
7822,7804
7843,7821
7862,7835
7882,7849
7907,7860
7929,7870
7944,7879
7956,7886
7964,7891
7972,7894
7978,7896
7983,7896
7988,7894
7988,7891
7988,7886
7987,7879
7985,7871
7982,7861
7977,7850
7970,7837
7961,7822
7951,7805
7937,7787
7920,7767
7900,7746
7880,7723
7861,7699
7843,7673
7824,7645
7799,7616
7767,7585
7735,7553
7705,7519
7670,7484
7634,7447
7599,7409
7557,7369
7515,7328
7480,7285
7435,7241
7388,7196
7349,7149
7302,7101
7256,7052
7206,7001
7152,6949
7099,6896
7033,6842
6992,6786
6937,6729
6885,6672
6823,6612
6763,6552
6687,6491
6631,6429
6562,6366
6506,6301
6443,6236
6380,6170
6310,6103
6229,6035
6167,5966
6106,5896
6046,5826
5978,5755
5911,5683
5835,5610
5769,5537
5701,5463
5633,5388
5565,5313
5486,5238
5397,5161
5329,5085
5257,5008
5187,4930
5112,4853
5028,4775
4965,4696
4886,4617
4811,4539
4733,4459
4647,4380
4560,4301
4484,4221
4405,4142
4327,4062
4248,3983
4169,3903
4099,3824
4024,3745
3946,3665
3865,3587
3789,3508
3703,3429
3630,3351
3557,3273
3479,3196
3400,3119
3325,3042
3252,2966
3182,2890
3108,2815
2991,2741
2915,2667
2849,2593
2782,2520
2713,2448
2631,2377
2542,2307
2480,2237
2412,2168
2346,2100
2276,2032
2198,1966
2131,1901
2059,1836
1999,1773
1931,1710
1863,1649
1791,1589
1709,1529
1649,1471
1592,1414
1534,1359
1470,1304
1412,1251
1341,1199
1291,1148
1235,1098
1184,1050
1131,1003
1075,958
1016,913
961,871
910,829
855,789
814,751
773,714
729,678
687,644
640,612
600,581
561,551
521,524
489,497
465,472
443,449
418,428
390,408
363,389
340,373
319,358
300,344
283,332
266,322
252,314
239,307
229,302
221,298
215,296
211,296
208,298
207,301
207,306
208,312
209,320
213,330
218,341
226,354
236,369
247,385
261,403
277,423
298,444
320,467
342,491
363,517
388,545
416,574
444,605
469,637
498,670
535,706
580,742
618,780
658,820
699,861
737,903
777,947
816,993
856,1039
911,1087
961,1136
1013,1187
1067,1239
1116,1292
1168,1346
1214,1401
1270,1458
1318,1516
1373,1575
1437,1635
1498,1696
1558,1758
1620,1822
1676,1886
1747,1951
1816,2017
1893,2084
1959,2152
2024,2221
2085,2290
2149,2361
2214,2432
2285,2504
2353,2576
2420,2650
2489,2723
2599,2798
2671,2873
2742,2949
2801,3025
2864,3101
2936,3178
3006,3256
3080,3333
3145,3411
3214,3490
3284,3568
3356,3647
3438,3726
3514,3806
3591,3885
3669,3964
3754,4044
3837,4096
3920,4176
3989,4255
4060,4334
4135,4414
4204,4493
4290,4572
4375,4651
4456,4729
4536,4808
4634,4886
4715,4963
4795,5041
4872,5117
4944,5194
5010,5270
5089,5345
5166,5420
5246,5494
5325,5568
5395,5641
5481,5713
5561,5785
5634,5856
5703,5926
5770,5995
5836,6064
5908,6131
5979,6198
6055,6264
6122,6329
6185,6392
6258,6455
6330,6517
6399,6578
6457,6638
6517,6696
6574,6754
6643,6810
6699,6865
6766,6919
6819,6972
6877,7023
6928,7073
6984,7122
7032,7169
7090,7215
7146,7260
7193,7303
7241,7345
7283,7386
7328,7425
7372,7463
7417,7499
7468,7533
7507,7567
7543,7598
7586,7628
7620,7657
7655,7684
7691,7709
7722,7733
7751,7755
7781,7776
7811,7795
7835,7812
7854,7828
7875,7842
7898,7855
7921,7866
7941,7875
7955,7882
7964,7888
7971,7893
7978,7895
7983,7896
7988,7895
7991,7893
7991,7889
7991,7883
7989,7876
7986,7866
7982,7856
7977,7843
7969,7829
7959,7814
7947,7796
7932,7777
7913,7757
7892,7735
7872,7711
7854,7686
7834,7659
7813,7631
7785,7601
7752,7569
7721,7536
7688,7501
7632,7465
7614,7428
7576,7389
7530,7348
7493,7307
7438,7263
7390,7219
7352,7173
7307,7125
7263,7077
7219,7027
7166,6975
7116,6923
7053,6869
7007,6814
6958,6758
6903,6701
6846,6642
6786,6583
6717,6522
6656,6460
6592,6397
6533,6334
6471,6269
6409,6203
6336,6136
6267,6069
6190,6000
6135,5931
6072,5861
6008,5790
5940,5719
5859,5646
5799,5573
5727,5500
5663,5426
5593,5351
5514,5275
5437,5200
5353,5123
5289,5046
5217,4969
5141,4892
5062,4814
4990,4735
4918,4657
4844,4578
4765,4499
4677,4420
4598,4341
4513,4261
4436,4182
4361,4102
4281,4023
4198,3943
4132,3864
4054,3784
3978,3705
3900,3626
3816,3547
3736,3469
3661,3390
3586,3312
3509,3235
3434,3157
3350,3080
3284,3004
3211,2928
3137,2853
3064,2778
2985,2703
2902,2630
2830,2557
2756,2484
2680,2413
2603,2342
2516,2272
2450,2202
2380,2134
2309,2066
2239,1999
2158,1933
2091,1868
2024,1804
1958,1741
1895,1680
1819,1619
1748,1559
1671,1500
1618,1443
1556,1386
1498,1331
1436,1277
1369,1224
1310,1173
1259,1123
1203,1074
1153,1026
1096,980
1041,935
980,892
929,850
872,809
827,770
788,732
744,696
703,661
657,628
614,596
575,566
533,537
499,510
472,485
450,461
427,438
401,418
375,398
350,381
317,365
298,351
283,338
270,327
257,318
243,310
233,304
225,300
219,297
215,296
212,297
210,299
210,303
210,309
212,316
213,325
218,335
225,348
233,362
244,377
258,394
274,413
292,433
314,455
335,479
355,504
378,531
405,559
434,589
460,620
486,653
520,688
563,724
604,761
643,800
685,840
721,882
760,925
804,970
839,1016
886,1063
942,1111
989,1161
1046,1213
1095,1265
1146,1319
1194,1374
1247,1430
1300,1487
1347,1545
1415,1605
1472,1665
1534,1727
1594,1790
1654,1854
1712,1918
1791,1984
1863,2050
1932,2118
1999,2186
2057,2255
2125,2325
2184,2396
2259,2468
2324,2540
2393,2613
2461,2686
2526,2761
2606,2835
2678,2911
2749,2987
2817,3063
2887,3140
2965,3217
3036,3294
3108,3372
3177,3451
3246,3529
3323,3608
3396,3687
3477,3766
3557,3845
3634,3925
3712,4004
3801,4084
3881,4136
3963,4215
4034,4295
4104,4374
4175,4453
4255,4533
4337,4611
4422,4690
4515,4769
4597,4847
4678,4925
4765,5002
4843,5079
4913,5156
4986,5232
5052,5307
5134,5383
5216,5457
5293,5531
5365,5604
5453,5677
5529,5749
5607,5820
5677,5891
5739,5961
5812,6029
5872,6098
5952,6165
6023,6231
6091,6296
6160,6361
6221,6424
6335,6486
6405,6548
6460,6608
6512,6667
6563,6725
6630,6782
6687,6838
6751,6892
6804,6945
6857,6997
6909,7048
6962,7098
7015,7146
7065,7192
7128,7238
7175,7282
7224,7325
7266,7366
7310,7406
7356,7444
7398,7481
7449,7516
7491,7550
7525,7583
7567,7613
7605,7643
7639,7671
7676,7697
7710,7721
7739,7744
7767,7766
7798,7786
7824,7804
7845,7821
7865,7835
7887,7849
7911,7860
7932,7870
7948,7879
7959,7886
7968,7891
7975,7894
7981,7896
7986,7896
7991,7894
7991,7891
7991,7886
7989,7879
7987,7871
7984,7861
7979,7850
7972,7837
7962,7822
7951,7805
7938,7787
7921,7767
7900,7746
7880,7723
7860,7699
7842,7673
7823,7645
7798,7616
7766,7585
7735,7553
7704,7519
7669,7484
7632,7447
7598,7409
7554,7369
7511,7328
7476,7285
7432,7241
7385,7196
7346,7149
7299,7101
7254,7052
7203,7001
7149,6949
7094,6896
7033,6842
6988,6786
6932,6729
6879,6672
6816,6612
6756,6552
6683,6491
6625,6429
6559,6366
6503,6301
6440,6236
6375,6170
6306,6103
6225,6035
6163,5966
6102,5896
6040,5826
5972,5755
5903,5683
5830,5610
5762,5537
5697,5463
5627,5388
5558,5313
5481,5238
5393,5161
5325,5085
5252,5008
5182,4930
5105,4853
4991,4775
4918,4696
4850,4617
4779,4539
4700,4459
4621,4380
4535,4301
4466,4221
4391,4142
4313,4062
4233,3983
4160,3903
4088,3824
4014,3745
3936,3665
3852,3587
3776,3508
3693,3429
3621,3351
3549,3273
3470,3196
3391,3119
3319,3042
3246,2966
3176,2890
3102,2815
3019,2741
2948,2667
2869,2593
2793,2520
2721,2448
2641,2377
2556,2307
2486,2237
2416,2168
2347,2100
2275,2032
2197,1966
2130,1901
2057,1836
1996,1773
1927,1710
1857,1649
1786,1589
1703,1529
1646,1471
1587,1414
1531,1359
1467,1304
1407,1251
1336,1199
1288,1148
1232,1098
1181,1050
1125,1003
1070,958
1009,913
956,871
903,829
850,789
810,751
769,714
725,678
683,644
637,612
596,581
556,551
516,524
486,497
462,472
440,449
415,428
388,408
362,389
338,373
316,358
298,344
281,332
265,322
251,314
238,307
227,302
220,298
214,296
210,296
208,298
207,301
207,306
208,312
210,320
213,330
218,341
226,354
236,369
248,385
262,403
278,423
299,444
321,467
344,491
365,517
389,545
418,574
446,605
472,637
500,670
539,706
583,742
623,780
662,820
704,861
741,903
781,947
819,993
859,1039
914,1087
964,1136
1018,1187
1073,1239
1121,1292
1171,1346
1217,1401
1273,1458
1321,1516
1379,1575
1442,1635
1503,1696
1594,1758
1653,1822
1704,1886
1776,1951
1839,2017
1908,2084
1970,2152
2032,2221
2097,2290
2159,2361
2228,2432
2294,2504
2362,2576
2427,2650
2497,2723
2568,2798
2644,2873
2719,2949
2785,3025
2855,3101
2928,3178
3001,3256
3075,3333
3143,3411
3213,3490
3287,3568
3359,3647
3442,3726
3519,3806
3595,3885
3674,3964
3758,4044
3840,4096
3925,4176
3994,4255
4064,4334
4141,4414
4209,4493
4298,4572
4382,4651
4464,4729
4544,4808
4635,4886
4720,4963
4801,5041
4876,5117
4951,5194
5015,5270
5097,5345
5174,5420
5255,5494
5333,5568
5406,5641
5488,5713
5568,5785
5638,5856
5707,5926
5775,5995
5841,6064
5916,6131
5985,6198
6058,6264
6127,6329
6190,6392
6266,6455
6336,6517
6404,6578
6461,6638
6521,6696
6578,6754
6647,6810
6705,6865
6772,6919
6824,6972
6881,7023
6932,7073
6988,7122
7036,7169
7096,7215
7151,7260
7198,7303
7245,7345
7287,7386
7333,7425
7377,7463
7422,7499
7472,7533
7510,7567
7547,7598
7589,7628
7624,7657
7658,7684
7694,7709
7726,7733
7754,7755
7784,7776
7813,7795
7836,7812
7856,7828
7877,7842
7900,7855
7923,7866
7942,7875
7955,7882
7965,7888
7972,7893
7978,7895
7984,7896
7988,7895
7991,7893
7991,7889
7991,7883
7988,7876
7986,7866
7982,7856
7976,7843
7968,7829
7959,7814
7946,7796
7931,7777
7911,7757
7890,7735
7870,7711
7851,7686
7833,7659
7812,7631
7784,7601
7752,7569
7720,7536
7687,7501
7649,7465
7615,7428
7577,7389
7531,7348
7493,7307
7432,7263
7385,7219
7352,7173
7312,7125
7266,7077
7220,7027
7165,6975
7116,6923
7054,6869
7008,6814
6959,6758
6905,6701
6847,6642
6786,6583
6717,6522
6656,6460
6592,6397
6533,6334
6471,6269
6409,6203
6336,6136
6268,6069
6189,6000
6134,5931
6071,5861
6006,5790
5940,5719
5857,5646
5798,5573
5726,5500
5663,5426
5593,5351
5513,5275
5438,5200
5355,5123
5290,5046
5218,4969
5142,4892
5063,4814
4989,4735
4916,4657
4843,4578
4764,4499
4672,4420
4598,4341
4514,4261
4439,4182
4363,4102
4283,4023
4199,3943
4132,3864
4054,3784
3977,3705
3900,3626
3817,3547
3737,3469
3661,3390
3586,3312
3503,3235
3436,3157
3353,3080
3286,3004
3213,2928
3137,2853
3063,2778
2984,2703
2905,2630
2834,2557
2759,2484
2682,2413
2604,2342
2517,2272
2452,2202
2378,2134
2310,2066
2240,1999
2159,1933
2093,1868
2026,1804
1960,1741
1895,1680
1820,1619
1749,1559
1672,1500
1618,1443
1557,1386
1498,1331
1436,1277
1367,1224
1311,1173
1260,1123
1204,1074
1155,1026
1096,980
1040,935
979,892
929,850
873,809
829,770
789,732
746,696
703,661
657,628
614,596
576,566
534,537
499,510
473,485
451,461
428,438
401,418
375,398
350,381
327,365
306,351
288,338
273,327
258,318
244,310
233,304
224,300
216,297
211,296
208,297
206,299
207,303
208,309
209,316
211,325
214,335
221,348
229,362
241,377
255,394
269,413
288,433
309,455
332,479
354,504
390,531
417,559
443,589
466,620
491,653
526,688
569,724
606,761
644,800
685,840
722,882
760,925
801,970
839,1016
887,1063
943,1111
991,1161
1047,1213
1095,1265
1144,1319
1194,1374
1246,1430
1301,1487
1347,1545
1416,1605
1472,1665
1536,1727
1595,1790
1655,1854
1714,1918
1792,1984
1864,2050
1931,2118
1996,2186
2054,2255
2124,2325
2184,2396
2262,2468
2327,2540
2394,2613
2463,2686
2527,2761
2607,2835
2679,2911
2750,2987
2817,3063
2887,3140
2964,3217
3035,3294
3110,3372
3179,3451
3247,3529
3322,3608
3397,3687
3478,3766
3558,3845
3634,3925
3713,4004
3801,4084
3881,4136
3960,4215
4033,4295
4103,4374
4175,4453
4256,4533
4338,4611
4421,4690
4506,4769
4593,4847
4675,4925
4763,5002
4841,5079
4912,5156
4986,5232
5052,5307
5134,5383
5216,5457
5294,5531
5366,5604
5452,5677
5527,5749
5605,5820
5674,5891
5739,5961
5812,6029
5872,6098
5952,6165
6023,6231
6090,6296
6160,6361
6220,6424
6302,6486
6370,6548
6433,6608
6495,6667
6551,6725
6616,6782
6677,6838
6740,6892
6799,6945
6855,6997
6908,7048
6960,7098
7013,7146
7063,7192
7125,7238
7174,7282
7223,7325
7266,7366
7309,7406
7355,7444
7399,7481
7450,7516
7492,7550
7527,7583
7569,7613
7607,7643
7641,7671
7676,7697
7710,7721
7739,7744
7768,7766
7800,7786
7826,7804
7847,7821
7866,7835
7888,7849
7912,7860
7934,7870
7950,7879
7961,7886
7970,7891
7976,7894
7982,7896
7987,7896
7991,7894
7992,7891
7992,7886
7990,7879
7988,7871
7982,7861
7977,7850
7970,7837
7961,7822
7949,7805
7934,7787
7917,7767
7897,7746
7877,7723
7859,7699
7841,7673
7821,7645
7795,7616
7764,7585
7733,7553
7703,7519
7666,7484
7630,7447
7596,7409
7553,7369
7511,7328
7476,7285
7431,7241
7385,7196
7345,7149
7297,7101
7250,7052
7200,7001
7144,6949
7092,6896
7032,6842
6988,6786
6932,6729
6878,6672
6815,6612
6755,6552
6684,6491
6626,6429
6560,6366
6503,6301
6440,6236
6374,6170
6305,6103
6224,6035
6164,5966
6102,5896
6041,5826
5972,5755
5901,5683
5829,5610
5762,5537
5697,5463
5627,5388
5557,5313
5479,5238
5392,5161
5323,5085
5252,5008
5180,4930
5105,4853
5021,4775
4958,4696
4880,4617
4803,4539
4724,4459
4639,4380
4552,4301
4478,4221
4400,4142
4320,4062
4240,3983
4164,3903
4092,3824
4018,3745
3940,3665
3856,3587
3781,3508
3696,3429
3624,3351
3550,3273
3472,3196
3392,3119
3320,3042
3247,2966
3177,2890
3103,2815
3020,2741
2948,2667
2869,2593
2795,2520
2722,2448
2641,2377
2556,2307
2484,2237
2415,2168
2344,2100
2273,2032
2194,1966
2128,1901
2055,1836
1995,1773
1927,1710
1858,1649
1787,1589
1703,1529
1645,1471
1585,1414
1529,1359
1460,1304
1406,1251
1336,1199
1288,1148
1230,1098
1180,1050
1126,1003
1072,958
1011,913
955,871
900,829
847,789
808,751
767,714
724,678
682,644
636,612
596,581
554,551
515,524
484,497
461,472
440,449
416,428
389,408
363,389
338,373
306,358
289,344
276,332
263,322
250,314
238,307
228,302
221,298
216,296
213,296
211,298
210,301
210,306
211,312
212,320
215,330
221,341
229,354
238,369
250,385
264,403
281,423
301,444
323,467
344,491
365,517
391,545
419,574
447,605
472,637
501,670
541,706
586,742
624,780
663,820
703,861
740,903
781,947
820,993
860,1039
916,1087
966,1136
1018,1187
1073,1239
1120,1292
1170,1346
1217,1401
1274,1458
1322,1516
1381,1575
1443,1635
1504,1696
1563,1758
1625,1822
1681,1886
1756,1951
1825,2017
1899,2084
1964,2152
2026,2221
2089,2290
2154,2361
2223,2432
2291,2504
2360,2576
2427,2650
2496,2723
2566,2798
2642,2873
2716,2949
2782,3025
2852,3101
2925,3178
2998,3256
3073,3333
3141,3411
3211,3490
3285,3568
3357,3647
3440,3726
3517,3806
3594,3885
3674,3964
3757,4044
3839,4096
3924,4176
3997,4255
4066,4334
4142,4414
4210,4493
4296,4572
4381,4651
4465,4729
4545,4808
4637,4886
4721,4963
4801,5041
4876,5117
4950,5194
5017,5270
5099,5345
5176,5420
5255,5494
5334,5568
5407,5641
5491,5713
5571,5785
5640,5856
5707,5926
5774,5995
5840,6064
5915,6131
5985,6198
6058,6264
6126,6329
6190,6392
6267,6455
6337,6517
6405,6578
6463,6638
6522,6696
6578,6754
6647,6810
6705,6865
6772,6919
6826,6972
6883,7023
6933,7073
6989,7122
7036,7169
7096,7215
7151,7260
7199,7303
7246,7345
7287,7386
7355,7425
7396,7463
7441,7499
7483,7533
7516,7567
7553,7598
7594,7628
7627,7657
7661,7684
7695,7709
7726,7733
7753,7755
7783,7776
7812,7795
7836,7812
7855,7828
7875,7842
7898,7855
7922,7866
7940,7875
7953,7882
7962,7888
7970,7893
7977,7895
7983,7896
7988,7895
7991,7893
7991,7889
7989,7883
7988,7876
7984,7866
7981,7856
7975,7843
7967,7829
7956,7814
7944,7796
7929,7777
7910,7757
7889,7735
7869,7711
7851,7686
7833,7659
7811,7631
7781,7601
7749,7569
7719,7536
7687,7501
7650,7465
7615,7428
7577,7389
7531,7348
7493,7307
7455,7263
7407,7219
7366,7173
7323,7125
7275,7077
7229,7027
7174,6975
7125,6923
7061,6869
7011,6814
6961,6758
6905,6701
6849,6642
6787,6583
6719,6522
6656,6460
6591,6397
6533,6334
6471,6269
6409,6203
6338,6136
6270,6069
6190,6000
6134,5931
6071,5861
6008,5790
5941,5719
5861,5646
5800,5573
5727,5500
5664,5426
5595,5351
5516,5275
5439,5200
5354,5123
5288,5046
5217,4969
5142,4892
5064,4814
